state,year,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag
AL,2014,530.24790515624,10805,10228,11780,172.43450905922,250.39162191044,1129,1129,5872,71.198208958
AL,2015,542.68552291268,10585,10000,12004,187.15862732966,257.79571598878,1114,1114,5836,72.84546027231
AL,2016,557.49833070378,10358,9751,11806,188.23952315416,281.85312965199,1120,1120,6468,79.69336225486
AL,2017,623.14197454285,10549,10018,12233,198.16325817152,285.19316639839,1171,1165,6928,84.44456522645
AL,2018,605.38079252433,10316,10021,12302,201.99141414093,286.46404685726,1232,1230,7012,84.72627130157
AL,2019,640.51724718538,10628,10302,12867,214.88309112633,292.33505047011,1263,1263,6790,84.19116594171
AL,2020,492.85027207391,10321,10302,12206,167.84618817692,215.27669441588,1114,1095,7626,70.7265119882
AL,2021,693.02759970658,11913,11913,13780,234.08753283876,272.746450689,1173,1136,6332,89.39088916737
AL,2022,750.95705671539,12110,11986,14378,246.68123051028,340.07872399144,1192,1192,6712,92.74980950046
AL,2023,755.41466587375,12089,12036,14583,252.62332659565,324.40782561322,1181,1181,6440,89.59015970211
AL,2024,747.81737153532,12016,12016,14640,250.07477618931,327.28447745287,1193,1193,6400,87.9869742495
AR,2007,195.69609267554,3863,3776,4201,66.4583002298,105.03411693433,640,640,2353,32.75995076586
AR,2008,203.53818663879,4003,3880,4117,64.39981423356,113.84324055731,624,624,2425,33.33456120313
AR,2009,203.78496839921,4302,4146,4613,70.13359715964,118.7289210129,621,621,2492,32.98792741765
AR,2010,213.61657722999,4572,4448,5298,75.80828520059,126.78284545846,653,653,2603,35.34756283861
AR,2011,212.02117818453,4822,4697,5360,76.09617991066,127.84204801653,689,689,2414,32.88872704492
AR,2012,216.11997749472,4973,4768,5216,74.92336308672,127.13162493305,639,639,2417,33.03419069692
AR,2013,223.16693339452,4970,4723,5392,71.9215874697,121.75755159153,678,678,2292,31.20403024648
